project,group
Ka-Sat,satellite
GSAT-19,satellite
GSAT-17,satellite
SwissCube,satellite
Starlink,satellite
Jason-3,satellite
Амос-6,satellite
OneWeb,satellite
Inmarsat-5 F4,satellite
Дискавери (шаттл),spaceplane
Everts Air,spaceplane
Virgin Galactic,spaceplane
InSight,spaceplane
GGS WIND,spaceplane
United Launch Alliance,joint venture
Аполлон (космическая программа),joint venture
Dragonfly (космический аппарат),joint venture
Артемида (космическая программа),joint venture
Вега (ракета-носитель),joint venture
Mitsubishi A6M Zero,plane
United Airlines,plane
Qatar Airways,plane
Lufthansa,plane
Планк (космическая обсерватория),telescope
Международная космическая станция,ISS
ASM-135 ASAT,missile
